Result based On VTO_0041850 
,Asserted,Inferred,Family,Genus
rib,,,0 and 1,
pectoral fin,,,1,
pelvic fin,,,0 and 1,
neural spine,,,1,
caudal vertebra,,,,
ethmoid bone,,,,
nasal bone,,,0,
palatine bone,,,,
basioccipital bone,,,,
exoccipital bone,,,,
maxilla,,,,
dentary,,,,
scapulocoracoid,,,,
basioccipital cartilage element,,,,
scapula,,,,
exoccipital cartilage element,,,,
premaxilla,,,,
vomer,,,,
orbitosphenoid,,,,
dorsal fin,,,1,
urostyle,,,,
Meckel's cartilage,,,,
orbitosphenoid cartilage element,,,,
thoracic vertebra cartilage element,,,,
premaxillary tooth,,,,
basibranchial bone,,,,
cleithrum,,,,
coracoid bone,,,,
articular/anguloarticular,,,,
parasphenoid,,,,
prootic bone,,,,
supraoccipital bone,,,,
hypohyal bone,,,,
vomerine tooth,,,,
actinopterygian parietal bone,,,0,
actinopterygian frontal bone,,,,
articular cartilage element,,,,
supraoccipital cartilage element,,,,
maxillary tooth,,,,
dentary tooth,,,,
ceratohyal cartilage,,,1,
hypohyal cartilage,,,,
hemal arch,,,,
scapula cartilage element,,,,
basisphenoid bone,,,,
quadrate bone,,,,
pterygoid bone,,,,
angular bone,,,,
mesethmoid bone,,,,
ethmoid cartilage,,,,
hyomandibular bone,,,,
hyomandibular cartilage,,,,
ceratohyal bone,,,,
basihyal cartilage,,,,
basihyal bone,,,,
ectopterygoid bone,,,,
surangular bone,,,,
tooth of palatine bone,,,,
caudal vertebra cartilage element,,,,
basibranchial cartilage,,,,
opercle,,,,
posterior ceratohyal,,,1,
supraorbital bone,,,,
lower pharyngobranchial toothplate,,,,
mandibular symphyseal tooth,,,,
hypochordal radial,,,,
pelvic fin distal radial bone,,,,
supramaxilla,,,,
suprapreopercle,,,,
antorbital,,,,
interhyal bone,,,,
dorsal hypohyal bone,,,,
rhinosphenoid,,,,
infraorbital 1,,,,
quadrate ventral process,,,,
lateral ethmoid bone,,,,
mesocoracoid bone,,,,
metapterygoid,,,,
adipose fin,,,,
preopercle,,,,
anal fin proximal radial bone,,,,
subopercle,,,,
preopercle horizontal limb,,,,
ventral hypohyal bone,,,,
preopercle vertical limb,,,,
epipleural,,,,
gill raker,,,,
hypobranchial bone,,,,
hypural,,,,
postcleithrum,,,,
pterosphenoid,,,,
retroarticular,,,,
parhypural,,,,
supraneural bone,,,,
urohyal,,,,
intercalar,,,,
branchiostegal ray,,,1,
ceratobranchial bone,,,,
infraorbital 5,,,,
epineural,,,1,
intermuscular bone,,,,
pharyngobranchial bone,,,,
posttemporal,,,,
pterotic,,,,
sphenotic,,,,
supracleithrum,,,,
uroneural,,,,
autopalatine,,,,
basipterygium bone,,,1,
anal fin distal radial bone,,,,
entopterygoid,,,,
epibranchial bone,,,,
epural,,,,
extrascapula,,,0,
interopercle,,,,
symplectic,,,,
entopterygoid vertical strut,,,,
preural vertebra,,,,
hemal postzygapophysis,,,,
dorsal fin distal radial bone,,,,
dorsal fin proximal radial bone,,,,
hypurapophysis,,,,
dorsal scute,,,,
basibranchial copula,,,,
anterior copula,,,,
posterior copula,,,,
coronomeckelian,,,,
supradorsal,,,,
hemal spine,,,,
epibranchial bone uncinate process,,,,
post-Weberian supraneural,,,,
supraethmoid,,,,
preethmoid bone,,,,
kinethmoid bone,,,,
infraorbital 2,,,,
infraorbital 3,,,,
infraorbital 4,,,,
epiotic,,,,
anterior sclerotic bone,,,,
posterior sclerotic bone,,,,
interhyal cartilage,,,,
ceratobranchial cartilage,,,,
hypobranchial cartilage,,,,
epibranchial cartilage,,,,
pharyngobranchial cartilage,,,,
mesocoracoid cartilage,,,,
basipterygium cartilage,,,1,
abdominal scute,,,,
premaxilla ascending process,,,,
anterior dorsomedial process of autopalatine,,,,
preural centrum 1+ ural centrum 1,,,,
caudal principal ray,,,1,
pectoral fin proximal radial bone,,,,
pectoral fin distal radial bone,,,,
propterygium cartilage,,,,
maxilla ascending process,,,,
lateral ethmoid palatine process,,,,
caudal scute,,,,
basipterygoid process of parasphenoid,,,,
pharyngobranchial 2 bone uncinate process,,,,
quadrate dorsal process,,,,
dorsal fin middle radial bone,,,,
anal fin middle radial bone,,,,
sphenotic spine,,,,
lateral ethmoid wing,,,,
ectopterygoid tooth,,,,
basihyal tooth plate,,,,
basihyal tooth,,,,
pharyngobranchial 2 tooth plate,,,,
pharyngobranchial 3 tooth plate,,,1,
upper pharyngeal tooth plate,,,1,
upper pharyngeal tooth,,,,
basibranchial tooth,,,,
basibranchial tooth plate,,,,
infraorbital 6,,,,
mesethmoid cornu,,,,
cornu mesial process,,,,
palatine cartilage,,,,
pterygoquadrate cartilage,,,,
anterior cartilage of palatine,,,,
posterior cartilage of palatine,,,,
anal-fin stay,,,,
dorsal-fin stay,,,,
caudal-fin stay,,,,
infraorbital 7,,,,
infraorbital 8,,,,
infraorbital 9,,,,
infraorbital 10,,,,
infraorbital 11,,,,
infraorbital 12,,,,
dermosphenotic,,,,
mesethmoid ventral diverging lamella,,,,
posterior process of basipterygium,,,1,
lateral mesethmoid wing,,,,
pre-narial cartilage,,,,
supraoccipital crest,,,,
pectoral fin spine,,,,
pelvic splint,,,0,
pharyngobranchial 3 bone uncinate process,,,,
pharyngobranchial 4 bone uncinate process,,,,
proximal segment of caudal ray,,,,
distal segment of caudal ray,,,,
pelvic intercleithral cartilage,,,,
procurrent spur,,,,
pectoral splint,,,,
upper uroneural,,,,
epicentral bone,,,,
cephalic rib,,,,
articular bone,,,,
anterior nuchal plate,,,,
middle nuchal plate,,,,
posterior nuchal plate,,,,
lateral line scale,,,,
urohyal lateral process,,,,
urohyal median process,,,,
caudal fin dorsal procurrent ray,,,,
caudal fin ventral procurrent ray,,,,
hyomandibular condyle for the opercle,,,,
gill ray,,,,
suprapharyngobranchial,,,,
pharyngobranchial 1 tooth plate,,,,
post-ceratobranchial cartilage,,,,
epioccipital posterior process,,,,
accessory vomerine tooth plate,,,,
infranuchal scute,,,,
rostral plate,,,,
anal-fin hook,,,,
caudal-fin hook,,,,
mandibular-hyoid median cartilage,,,,
lateral bone,,,,
parietal-supraoccipital,,,0,
posttemporal-supracleithrum,,,,
posterior dentation of pectoral fin spine,,,,
anterior dentation of pectoral fin spine,,,,
anterior distal serration of pectoral fin spine,,,,
ural centrum,,,,
ural vertebra,,,,
dorsal fin spine,,,,
anal fin proximal radial cartilage,,,,
anal fin distal radial cartilage,,,,
dorsal fin distal radial cartilage,,,,
dorsal fin proximal radial cartilage,,,,
pectoral fin proximal radial cartilage,,,,
pectoral fin distal radial cartilage,,,,
dorsal fin middle radial cartilage,,,,
anal fin middle radial cartilage,,,,
anal fin,,,,
caudal fin,,,1,
caudal fin lepidotrichium,,,1,
supraneural cartilage,,,,
dorsal fin ray,,,,
pelvic fin ray,,,0,
anal fin ray,,,,
pectoral fin ray,,,,
medial cartilage of palatine,,,,
pharyngobranchial 4 tooth plate,,,,
